Z,N,L,NParamType,LParamType
82,125,1,SLy4,21
82,125,1,SLy4,45
82,125,1,SLy4,27
82,125,1,SLy4,1
82,125,1,SLy4,39
82,125,1,SLy4,33
82,125,1,SLy4,8
82,125,1,SLy4,22
82,125,1,SLy4,46
82,125,1,SLy4,28
82,125,1,SLy4,2
82,125,1,SLy4,40
82,125,1,SLy4,16
82,125,1,SLy4,34
82,125,1,SLy4,9
82,125,1,SLy4,23
82,125,1,SLy4,47
82,125,1,SLy4,29
82,125,1,SLy4,3
82,125,1,SLy4,41
82,125,1,SLy4,24
82,125,1,SLy4,35
82,125,1,SLy4,17
82,125,1,SLy4,10
82,125,1,SLy4,48
82,125,1,SLy4,30
82,125,1,SLy4,25
82,125,1,SLy4,4
82,125,1,SLy4,42
82,125,1,SLy4,49
82,125,1,SLy4,18
82,125,1,SLy4,36
82,125,1,SLy4,11
82,125,1,SLy4,31
82,125,1,SLy4,26
82,125,1,SLy4,5
82,125,1,SLy4,43
82,125,1,SLy4,50
82,125,1,SLy4,19
82,125,1,SLy4,37
82,125,1,SLy4,12
82,125,1,SLy4,32
82,125,1,SLy4,6
82,125,1,SLy4,44
82,125,1,SLy4,20
82,125,1,SLy4,38
82,125,1,SLy4,13
82,125,1,SLy4,7
82,125,1,SLy4,14
